Program,Category,Shortcut,Action
Windows 10,General,Windows key+S,"Opens Cortana, Windows' virtual assistant (similar to Apple's Siri or Amazon's Alexa)"
Windows 10,General,Windows key+C,"Open Cortana's listening mode"
Windows 10,General,Windows key+A,"Open the Action Center to view your latest emails, alerts, and notifications"
Windows 10,General,Windows key+Arrow key,"Since Windows 7, you've been able to look at two applications side-by-side on the screen using this Windows shortcut. A new addition to Windows 10 is that you can now use the up and down arrow keys to move applications to the top and bottom of your monitor"
Windows 10,General,Windows key+Ctrl+D,"Create a ""virtual desktop"" or second desktop"
Windows 10,General,Windows key+I,"Open Window Settings"
Windows 10,General,Windows key+X,"Open Quick Link, a hidden menu. From there you can access power options, the Device Manager, system settings, and more"
Windows 10,General,Windows key+Tab,"View all your open applications at once. Scroll through the applications using the arrow keys and choose to make an application full-screen by tapping Enter"
Windows 10,File Explorer,Ctrl+E,"Select the search box"
Windows 10,File Explorer,Ctrl+F,"Start a search"
Windows 10,File Explorer,Ctrl+L,"Put the cursor in the address bar"
Windows 10,File Explorer,Alt+D,"Select text in the address bar"
Windows 10,File Explorer,Ctrl+Shift+E,"Expand all the folders in the navigation pane on the left"
Windows 10,File Explorer,Alt+Right arrow,"View the next folder"
Windows 10,File Explorer,Alt+Left arrow,"View the previous folder"
Windows 10,File Explorer,Alt+Up arrow,"Move up a level in the folder path"
Windows 10,File Explorer,Ctrl+Shift+N,"Create a new folder"
Windows 10,File Explorer,Ctrl+N,"Open a new window"
Windows 10,File Explorer,Ctrl+W,"Close a window"
Windows 10,File Explorer,Alt+Enter,"Open the properties of a selected file"
Windows 10,File Explorer,End,"Scroll to the end of the window"
Windows 10,File Explorer,Home,"Scroll to the top of the window"
Windows 10,File Explorer,F5,"Refresh the screen"
Windows 10,File Explorer,F11,"Open Full Screen mode"
Windows 10,File Explorer,Alt+P,"Display the preview panel"
Windows 10,Taskbar,Windows key+T,"Highlight the first app on the taskbar. From there, use the arrow keys to scroll through the apps and hit Enter to open an app"
Windows 10,Taskbar,Windows key+B,"Highlight the first item in the Notification Area. Use the arrow keys to scroll through the items and hit Enter to open an item. Tap Shift+F10 to open a menu for the item"
Windows 10,Taskbar,Windows key+Number,"Open an application on the taskbar that corresponds with the number on the taskbar lineup"
Windows 10,Taskbar,Shift+Windows key+Number,"Open the application again, when it is still running. You can use this trick to open more than one browser window"
Windows 10,Taskbar,Ctrl+Windows key+Number,"Open the application that most recently used that number open"
Windows 10,Taskbar,Alt+Windows key+Number,"Open the application's menu or ""jumplist"""
Windows 10,CMD,Ctrl+End,"Scroll to the bottom"
Windows 10,CMD,Ctrl+Home,"Scroll to the top"
Windows 10,CMD,Ctrl+A,"Select all of the text in the line you're on"
Windows 10,CMD,Page down,"Move the cursor down a page"
Windows 10,CMD,Page up,"Move the cursor up a page"
Windows 10,CMD,Right arrow,"Move the cursor right"
Windows 10,CMD,Left arrow,"Move the cursor left"
Windows 10,CMD,Up arrow,"Cycle through command history"
Windows 10,CMD,Down arrow,"Cycle through command history"
Windows 10,CMD,Ctrl+Up arrow,"Move the screen up one line"
Windows 10,CMD,Ctrl+Down arrow,"Move the screen down one line"
Windows 10,CMD,Ctrl+C,"Copy selected items to the clipboard"
Windows 10,CMD,Ctrl+V,"Paste content from clipboard"
Windows 10,CMD,Ctrl+M,"Starts mark mode"
Windows 10,CMD,Ctrl+F,"Open search"
Outlook,General,Esc,"Close a window or a menu."
Outlook,General,Alt+H,"Go to the Home tab."
Outlook,General,Ctrl+Shift+M,"Create a new message."
Outlook,General,Alt+S,"Send a message."
Outlook,General,Alt+N+A+F,"Insert a file."
Outlook,General,Ctrl+Shift+K,"New task"
Outlook,General,Delete,"Delete an item (when a message, task, or meeting is selected)."
Outlook,General,Ctrl+E,"Search for an item."
Outlook,General,Alt+H+R+P,"Reply to a message."
Outlook,General,Alt+H+F+W,"Forward a message."
Outlook,General,Alt+H+R+A,"Select the Reply All option."
Outlook,General,Ctrl+C,"Copy an item."
Outlook,General,Alt+J+S,"Go to the Send/Receive tab."
Outlook,General,Ctrl+2,"Go to Calendar."
Outlook,General,Ctrl+Shift+A,"Create an appointment."
Outlook,General,Alt+J+A+A+V,"Open the Save As dialog on the Attachment tab."
Outlook,General,Ctrl+M,"Check for new messages."
Outlook,Search,Ctrl+E,"Go to the Search field to find a message or another item."
Outlook,Search,Esc,"Clear the search results."
Outlook,Search,Ctrl+Alt+A,"Expand the search to include All Mail Items, All Calendar Items, or All Contact Items, depending on the module you are in."
Outlook,Search,Ctrl+Shift+F,"Use Advanced Find."
Outlook,Search,Ctrl+Shift+P,"Create a Search folder."
Outlook,Search,F4,"Search for text within an open item."
Outlook,Search,Ctrl+H,"Find and replace text, symbols, or some formatting commands when in the Reading pane or in an open item."
Outlook,Search,Ctrl+Alt+K,"Expand search to include items from the current folder."
Outlook,Search,Ctrl+Alt+Z,"Expand search to include subfolders."
Outlook,Print,Alt+F+P,"Open the Print page in the File menu."
Outlook,Print,Alt+F+P+F+1,"Print an item from an open window."
Outlook,Print,Alt+S,"Open the Page Setup dialog on Print page."
Outlook,Print,Alt+F+P+I,"Select a printer on the Print page."
Outlook,Print,Alt+F+P+R,"Open the Print Options dialog."
Outlook,Flags,Ctrl+Shift+G,"Open the Flag for Follow Up dialog to assign a flag."
Outlook,Mail,Ctrl+Shift+I,"Switch to Inbox."
Outlook,Mail,Ctrl+Shift+O,"Switch to Outbox."
Outlook,Mail,Ctrl+K,"Check names."
Outlook,Mail,Alt+S,"Send a message."
Outlook,Mail,Ctrl+R,"Reply to a message."
Outlook,Mail,Ctrl+Shift+R,"Select the Reply to All option."
Outlook,Mail,Ctrl+Alt+R,"Reply with a meeting request."
Outlook,Mail,Ctrl+F,"Forward a message."
Outlook,Mail,Ctrl+Alt+J,"Mark a message as not junk."
Outlook,Mail,Ctrl+Shift+I,"Display blocked external content (in a message)."
Outlook,Mail,Ctrl+Shift+S,"Post to a folder."
Outlook,Mail,Ctrl+Shift+N,"Apply Normal style."
Outlook,Mail,Ctrl+M,"Check for new messages."
Outlook,Mail,Up arrow,"Go to the previous message."
Outlook,Mail,Down arrow,"Go to the next message."
Outlook,Mail,Ctrl+N,"Create a message (when in Mail view)."
Outlook,Mail,Ctrl+Shift+M,"Create a message (from any Outlook view)."
Outlook,Mail,Ctrl+O,"Open a received message"
Outlook,Mail,Ctrl+Shift+D,"Delete and ignore a conversation."
Outlook,Mail,Ctrl+Shift+B,"Open the Address Book."
Outlook,Mail,Insert,"Add a Quick flag to an unopened message."
Outlook,Mail,Ctrl+Shift+G,"Display the Flag for follow up dialog."
Outlook,Mail,Ctrl+Q,"Mark a message as read."
Outlook,Mail,Ctrl+U,"Mark a message as unread."
Outlook,Mail,Ctrl+Alt+P,"Open the MailTip in the composed message."
Outlook,Mail,F4,"Find or replace text."
Outlook,Mail,Shift+F4,"Find the next item."
Outlook,Mail,Ctrl+Enter,"Send a message."
Outlook,Mail,Ctrl+P,"Print an item."
Outlook,Mail,Ctrl+Alt+F,"Forward a message as an attachment."
Outlook,Mail,Alt+Enter,"Show the properties for the selected item."
Outlook,Mail,Ctrl+Alt+M,"Mark an item for download."
Outlook,Mail,Ctrl+Alt+U,"Check the Mark for download status."
Outlook,Mail,Ctrl+B,"Display the Send/Receive progress."
Outlook,Mail,Ctrl+S,"Save an item."
Outlook,Mail,F12,"Open the Save as dialog."
Outlook,Folders,Up arrow,"Move around within the Folder pane."
Outlook,Folders,Down arrow,"Move around within the Folder pane."
Outlook,Folders,Space,"Move to the Message list from the Folder pane."
Outlook,Folders,Shift+F10,"Create a new folder."
Outlook,Folders,Right arrow,"Expand a selected group or folder with subfolders."
Outlook,Folders,Left arrow,"Collapse a selected group or folder with subfolders."
Outlook,Folders,Enter,"Open a selected item in the Folder pane."
Outlook,Folders,F2,"Rename a selected folder in the list of folders."
Outlook,Folders,Shift+F10+D,"Delete a selected folder in the list. Default folders, such as Inbox, Outbox, Drafts, and Sent) cannot be deleted."
Outlook,Messages,Up arrow,"Move up in the message list."
Outlook,Messages,Down arrow,"Move down in the message list."
Outlook,Messages,Page down,"Go to the item at the bottom of the screen."
Outlook,Messages,Page up,"Go to the item at the top of the screen."
Outlook,Messages,Shift+Down arrow,"Reduce the selected items by one item."
Outlook,Messages,Shift+Up arrow,"Extend the selected items by one item."
Outlook,Messages,Ctrl+Up arrow,"Go to the next item without extending the selection."
Outlook,Messages,Ctrl+Down arrow,"Go to the previous item without extending the selection."
Outlook,Messages,Ctrl+Space,"Select or cancel selection of the active item."
Outlook,Messages,Right arrow,"Expand groups of messages (for example, Last Week)."
Outlook,Messages,Left arrow,"Collapse groups of messages (for example, Last Week)."
Outlook,Messages,Shift+Up arrow,"Select multiple adjacent messages."
Outlook,Messages,Shift+Down arrow,"Select multiple adjacent messages."
Outlook,Messages,Ctrl+Shift+V,"Move message to folder."
Outlook,Messages,Shift+F10+U+T,"Add Follow Up or Quick Flag to message."
Outlook,Messages,Ctrl+Shift+G,"Add Custom Flag to message."
Outlook,Messages,Shift+F10+J+Up arrow+Enter,"Mark message as junk"
Outlook,Messages,Shift+F10+J+Down arrow+Enter,"Mark message as not junk."
Outlook,Messages,Ctrl+Q,"Mark a message as read."
Outlook,Messages,Ctrl+U,"Mark a message as unread."
Outlook,Messages,Alt+S+M+T,"Mark an item to download."
Outlook,Messages,Alt+S+M+C,"Mark an item to download a copy."
Outlook,Messages,Alt+S+U+U,"Unmark an item to download."
Outlook,Messages,Alt+S+U+K,"Unmark an item to download a copy."
Outlook,Messages,Alt+H+D,"Delete a message."
Outlook,Messages,Alt+H+X,"Ignore a message."
Outlook,Messages,Alt+H+R+P,"Reply to a message."
Outlook,Messages,Alt+H+R+A,"Select the Reply All option."
Outlook,Messages,Alt+H+F+W,"Forward a message."
Outlook,Messages,Enter,"Open a message."
Outlook,Messages,Ctrl+Shift+W,"Display a blocked content menu."
Outlook,Messages,Ctrl+Shift+W,"P, Download blocked pictures or images."
Outlook,Messages,Alt+Enter,"Show email properties."
Outlook,Messages,Ctrl+Shift+S,"Post to a folder."
Outlook,Messages,Ctrl+Shift+Y,"Copy item to a folder."
Outlook,Messages,Ctrl+P,"Print a message."
Outlook,Messages,Ctrl+Alt+S,"Set how often Outlook checks for new messages."
Outlook,Messages,Alt+H+J+O,"Set the junk mail options."
Outlook,Reading Pane,Alt+Up arrow,"Go to the previous message."
Outlook,Reading Pane,Space,"Page down through text."
Outlook,Reading Pane,Shift+Space,"Page up through text."
Outlook,Reading Pane,Tab,"Move to the next field."
Outlook,Reading Pane,Shift+Tab,"Move to previous field."
Outlook,Reading Pane,Shift+Tab,"Move to the next or previous link."
Outlook,Reading Pane,Alt+R,"Jump to the Reply button."
Outlook,Reading Pane,Ctrl+Shift+W,"In an email message, select the InfoBar and, if available, show the options menu. The InfoBar appears in messages that contain additional information, for example, about conflicting meetings and actions are needed. If available, the InfoBar appears in the message below the subject and sender."
Outlook,Reading Pane,Esc,"Close the InfoBar menu."
Outlook,Calendar,Ctrl+N,"Create an appointment (when in the Calendar view)."
Outlook,Calendar,Ctrl+Shift+A,"Create an appointment (in any Outlook view)."
Outlook,Calendar,Ctrl+Shift+Q,"Create a meeting request."
Outlook,Calendar,Alt+H+I,"Open the New Items menu to select which item you'd like to create."
Outlook,Calendar,Ctrl+F,"Forward an appointment or meeting."
Outlook,Calendar,Ctrl+R,"Reply to a meeting request with a message."
Outlook,Calendar,Ctrl+Shift+R,"Select the Reply All option."
Outlook,Calendar,Alt+1,"Show one day in the calendar."
Outlook,Calendar,Alt+2,"Show two days in the calendar."
Outlook,Calendar,Alt+3,"Show three days in the calendar."
Outlook,Calendar,Alt+4,"Show four days in the calendar."
Outlook,Calendar,Alt+5,"Show five days in the calendar."
Outlook,Calendar,Alt+6,"Show six days in the calendar."
Outlook,Calendar,Alt+7,"Show seven days in the calendar."
Outlook,Calendar,Alt+8,"Show eight days in the calendar."
Outlook,Calendar,Alt+9,"Show nine days in the calendar."
Outlook,Calendar,Alt+0,"Show ten days in the calendar."
Outlook,Calendar,Alt+H+O+D,"Show today in the calendar."
Outlook,Calendar,Ctrl+Alt+1,"Show the daily view."
Outlook,Calendar,Alt+H+X,"Show the next seven days."
Outlook,Calendar,Ctrl+G,"Go to a date."
Outlook,Calendar,Ctrl+Alt+4,"Switch to Month view."
Outlook,Calendar,Ctrl+Right arrow,"Go to the next day."
Outlook,Calendar,Alt+Down arrow,"Go to the next week."
Outlook,Calendar,Alt+Page down,"Go to the next month."
Outlook,Calendar,Ctrl+Left arrow,"Go to the previous day."
Outlook,Calendar,Alt+Up arrow,"Go to the previous week."
Outlook,Calendar,Alt+Page up,"Go to the previous month."
Outlook,Calendar,Alt+Home,"Go to the start of the week."
Outlook,Calendar,Alt+End,"Go to the end of the week."
Outlook,Calendar,Ctrl+Alt+3,"Switch to the Full Week view."
Outlook,Calendar,Ctrl+Alt+2,"Switch to the Work Week view."
Outlook,Calendar,Ctrl+Comma,"Go to the previous appointment."
Outlook,Calendar,Ctrl+Period,"Go to the next appointment."
Outlook,Calendar,Ctrl+G,"Set up recurrence for an open appointment or meeting."
Outlook,Calendar,Alt+O,"Open an appointment when the reminder appears."
Outlook,Calendar,Alt+V+M,"Open the reminder window."
Outlook,Calendar,Alt+S,"Snooze the reminder."
Outlook,Calendar,Alt+D,"Dismiss the reminder."
Outlook,Calendar,Ctrl+E,"Jump to Search."
Outlook,Calendar,Ctrl+Alt+5,"Show the selected schedule in a horizontal layout if you want to compare calendars to schedule meetings."
Outlook,Calendar,Alt+H+O+C,"Add shared calendars from your contacts, or create a new calendar."
Outlook,Calendar,Alt+H+C+G,"Create a new calendar group or add a department calendar."
Outlook,Calendar,Alt+H+E,"Email a selected calendar to a contact."
Outlook,Calendar,Alt+H+S+C,"Share a calendar with others."
Outlook,Calendar,Alt+H+P+O,"Publish a calendar online."
Outlook,Calendar,Alt+H+F+P,"View and edit the sharing permissions for a folder."
Outlook,Calendar,Alt+H+F+C,"Search for contacts."
Outlook,Calendar,Alt+H+A+B,"Open the address book."
Outlook,Calendar,Alt+H+C+O,"Open the Outlook Options dialog for calendars."
Outlook,Calendar,Alt+Ctrl+Shift+M,"If information for the currently selected item is abbreviated or not read in full, activate the Microsoft Active Accessibility (MSAA) information. MSAA provides more details to JAWS so that the information can be read in full."
Outlook,Contacts,Ctrl+Shift+D,"Dial a new call to a contact."
Outlook,Contacts,Ctrl+E,"Find a contact."
Outlook,Contacts,F11,"Enter a name in the Search Address Books."
Outlook,Contacts,Ctrl+A,"Select all contacts."
Outlook,Contacts,Ctrl+F,"Create a message with the selected contact as subject."
Outlook,Contacts,Ctrl+N,"Create a contact (when in Contacts)."
Outlook,Contacts,Ctrl+Shift+C,"Create a contact (from any Outlook view)."
Outlook,Contacts,Ctrl+O,"Open a contact form for the selected contact."
Outlook,Contacts,Ctrl+Shift+L,"Create a contact group."
Outlook,Contacts,Ctrl+P,"Open the Print dialog."
Outlook,Contacts,F5,"Update a list of contact group members."
Outlook,Contacts,Ctrl+Y,"Go to a different folder."
Outlook,Contacts,Ctrl+Shift+B,"Open the Address Book."
Outlook,Contacts,Ctrl+Shift+F,"Use Advanced Find."
